orig.ident,nCount_RNA,nFeature_RNA,novelty_score,RNA_snn_res.0.8,seurat_clusters
control,2576,1144,0.8966504163843905,17,17
control,5619,1182,0.8194391677337642,4,4
control,1509,577,0.868652329584337,0,0
control,1005,514,0.9030023866864797,0,0
control,1013,528,0.9058508671965702,3,3
control,1320,493,0.8629332227474777,0,0
control,1311,532,0.8743614571417065,7,7
control,1087,428,0.8666814319551269,7,7
control,902,413,0.8852004143954945,7,7
control,3652,1065,0.8497750066427014,4,4
control,405,197,0.8799638750174109,0,0
control,1480,514,0.8551228139401541,0,0
control,1568,654,0.8811495521644865,0,0
control,972,433,0.8824572969559654,7,7
control,1047,511,0.8968439464729402,0,0
control,869,447,0.9017658010911407,7,7
control,2190,735,0.8580557676000462,12,12
control,852,440,0.9020669394472332,5,5
control,1231,575,0.8930218115836318,0,0
control,743,392,0.9032727869195811,3,3
control,2732,736,0.8342481942356955,4,4
control,682,379,0.9099630984734552,7,7
control,1319,563,0.8815040405731125,7,7
control,2959,998,0.8640176573981205,12,12
control,373,238,0.9241236518152254,3,3
control,1419,534,0.8653415263230507,11,11
control,1763,670,0.8705653568558004,4,4
control,3941,1109,0.8468478409158743,12,12
control,1257,575,0.8904063605374338,7,7
control,2172,856,0.8788123931053986,3,3
control,976,482,0.897505294246085,3,3
control,1109,451,0.8716703484630461,7,7
control,1379,498,0.8591094540788239,0,0
control,1350,526,0.8692318281005312,0,0
control,998,478,0.8934015574600429,7,7
control,2312,649,0.835985395645925,4,4
control,1488,480,0.8451234823618807,4,4
control,727,408,0.912328767804737,3,3
control,792,313,0.8609109802461632,9,9
control,1161,589,0.9038391325132272,7,7
control,2674,839,0.853114755065961,4,4
control,972,476,0.896220231876055,3,3
control,2255,1069,0.9033239864296361,17,17
control,2965,1027,0.8673816305488875,3,3
control,1567,626,0.8752782291404022,7,7
control,2349,1160,0.9090965109066246,6,6
control,1844,644,0.860101501301265,12,12
control,814,431,0.9051244350646536,3,3
control,272,187,0.9331597075654533,6,6
control,951,481,0.9005985571123112,9,9
control,1110,505,0.8876862641333789,3,3
control,1172,511,0.8825300700560459,0,0
control,509,295,0.9124785864619844,3,3
control,1398,550,0.8711989959527408,0,0
control,680,338,0.8928186205993176,9,9
control,1198,484,0.8721400105076718,7,7
control,443,270,0.9187425713116775,6,6
control,1179,388,0.8428520559796283,9,9
control,206,113,0.8872931106028946,0,0
control,4536,1265,0.8483368588293312,4,4
control,1330,660,0.9025857369682867,0,0
control,941,413,0.8797279998042726,0,0
control,2594,816,0.8528751520514937,4,4
control,2306,705,0.8469545884615307,4,4
control,1323,544,0.876356384706832,7,7
control,780,397,0.8985841971924058,6,6
control,1814,607,0.8540958841386099,0,0
control,1572,539,0.8545688476673192,0,0
control,1849,715,0.8736948767058734,9,9
control,435,265,0.9184217322657342,7,7
control,1311,491,0.8631893663987396,4,4
control,2338,796,0.8611003155117287,4,4
control,880,417,0.8898459752389843,3,3
control,3637,1247,0.8694438749801284,4,4
control,1820,568,0.8448736263451507,0,0
control,2198,792,0.8673552262663433,3,3
control,538,261,0.8849627188782566,0,0
control,1505,621,0.8790116495084264,0,0
control,1257,444,0.8541776648608417,0,0
control,1492,661,0.888597001434535,0,0
control,281,141,0.8776957429254688,0,0
