orig.ident,nCount_RNA,nFeature_RNA,novelty_score,RNA_snn_res.0.8,seurat_clusters
control,1006,353,0.8485234193013622,0,0
control,809,389,0.8906449278853622,11,11
control,910,465,0.9014584790237032,5,5
control,1739,642,0.8664430423848701,0,0
control,1276,489,0.8658847900522504,0,0
control,1001,483,0.8945196133108549,3,3
control,1826,768,0.8846728609547685,3,3
control,4982,1299,0.842106890176947,12,12
control,1505,608,0.8761200947130534,3,3
control,1607,625,0.8720730416864546,7,7
control,1196,447,0.8611237851615325,7,7
control,1807,544,0.8399244852277855,4,4
control,1279,546,0.8810127758844389,0,0
control,1688,529,0.8438615997176482,4,4
control,2270,762,0.8587403953287713,0,0
control,1693,920,0.9179630619790226,6,6
control,844,393,0.886564917707086,3,3
control,1011,407,0.8684893603816393,9,9
control,1357,649,0.8977407866877899,3,3
control,2548,811,0.8540371517891194,4,4
control,950,514,0.9104146248430283,0,0
control,1005,472,0.8906709168078523,0,0
control,1958,631,0.8506040972211616,12,12
control,2004,733,0.8677143327973484,1,1
control,1073,416,0.8642161852135775,0,0
control,1369,466,0.8507789131138604,0,0
control,476,182,0.8440639077698856,6,6
control,1001,414,0.8722072451994864,7,7
control,1062,479,0.8857320637609527,3,3
control,3396,850,0.8296362895086525,4,4
control,992,424,0.8768081502929476,3,3
control,1438,511,0.8577035162825024,11,11
control,1520,560,0.8637093405277408,9,9
control,2413,951,0.8804523422700843,3,3
control,403,220,0.899097280102276,6,6
control,852,436,0.9007134949931368,7,7
control,1239,502,0.8731462839468923,0,0
control,2011,708,0.8627543875187594,9,9
control,952,392,0.8706284491726928,9,9
control,742,467,0.9299446937265202,6,6
control,930,426,0.8857755441659544,3,3
control,739,403,0.9082007554756177,0,0
control,1008,417,0.872372394097512,7,7
control,2004,689,0.8595721203376786,4,4
control,1952,734,0.8709052243099373,9,9
control,1187,450,0.8629874915274356,9,9
control,1243,654,0.9098736524842611,0,0
control,1004,513,0.9028506937664728,3,3
control,1853,660,0.8628064334623651,9,9
control,4001,1061,0.8399705179656359,4,4
control,3056,847,0.8401017448519585,4,4
control,843,471,0.9135948168345941,3,3
control,1826,825,0.8942061190100541,3,3
control,1127,433,0.8638773340618021,0,0
control,3917,1150,0.8518612276515014,14,14
control,2485,897,0.8696637969979636,0,0
control,1201,535,0.8859606037202745,0,0
control,1171,477,0.8728918741384292,0,0
control,1495,656,0.887314083206678,7,7
control,1137,473,0.8753503985827479,7,7
control,360,202,0.9018304245114421,7,7
control,2741,1023,0.8754960071943356,7,7
control,1106,467,0.8769814814979956,7,7
control,2955,1247,0.8920372207247061,17,17
control,1809,614,0.8559388961336499,0,0
control,4732,1182,0.8360762105787094,4,4
control,742,433,0.9185076328472586,3,3
control,946,478,0.9003783316656759,0,0
control,4252,1001,0.8268863071497453,4,4
control,217,101,0.8578454594127325,11,11
control,1003,528,0.9071512598351261,0,0
control,863,470,0.9101117277345694,7,7
control,975,451,0.8879800746837165,7,7
control,2259,797,0.8650956439063805,9,9
control,1813,660,0.8653160556387435,0,0
control,1250,525,0.878346252225728,0,0
control,1269,471,0.8613030327485476,0,0
control,2615,857,0.8582311969858724,12,12
control,1245,501,0.8722746380964138,0,0
control,1109,402,0.8552658782684168,9,9
control,1380,622,0.889776423809018,0,0
control,357,224,0.9207025039523845,3,3
control,1426,540,0.8662936638002308,3,3
control,629,349,0.9085897988366507,6,6
control,4759,1982,0.8965573269603976,13,13
control,2468,891,0.8695688583972473,0,0
control,920,481,0.9049720265488878,3,3
control,1193,517,0.8819654401529051,0,0
control,1089,433,0.8681144858523264,1,1
control,1405,544,0.8690851974297993,0,0
control,3062,791,0.8313746906733711,4,4
control,2887,1235,0.8934299963799855,7,7
control,657,346,0.9011596061707291,3,3
control,1382,553,0.8733380375779393,0,0
control,2609,727,0.837569477949227,4,4
control,2416,771,0.8533761928288582,4,4
control,2818,821,0.8447515962166257,4,4
control,607,298,0.8889861733091357,3,3
control,3271,978,0.8508138413279547,4,4
control,468,290,0.9221615287087206,0,0
control,1841,643,0.8600810751760665,4,4
control,1594,567,0.8598261059140146,11,11
control,1473,626,0.8827005582257768,9,9
control,1422,568,0.8735921495443155,0,0
control,487,269,0.9040841289778236,3,3
control,874,424,0.8932026669839174,7,7
control,1003,535,0.9090570532277468,3,3
control,2875,1039,0.872197575819337,7,7
control,980,483,0.8972732460986438,7,7
control,1374,561,0.8760275601516877,0,0
control,1100,405,0.8573227113811576,0,0
control,2644,822,0.8517384949788316,4,4
control,1803,552,0.8421199865914228,4,4
control,1484,578,0.8708766837610221,4,4
control,1443,615,0.8827603701300243,3,3
control,1431,582,0.8761846425903931,0,0
control,3111,974,0.8556096502544882,4,4
control,890,423,0.8904689991686259,0,0
control,4206,1237,0.8533336802839091,4,4
control,1013,470,0.8890369512448132,3,3
control,2423,763,0.8517209006345705,4,4
control,1014,412,0.8698816366194113,7,7
control,896,432,0.8926859047869222,3,3
