orig.ident,nCount_RNA,nFeature_RNA
control,1167,510
control,1769,741
control,1135,611
control,1319,499
control,2248,667
control,812,423
control,1064,486
control,937,407
control,1241,506
control,2065,816
control,3527,1086
control,480,257
control,3422,812
control,497,264
control,738,338
control,1177,507
control,1460,501
control,1190,474
control,1304,484
control,3466,1040
control,1106,461
control,1725,647
control,727,394
control,702,326
control,1261,602
control,1431,547
control,1644,608
control,3316,883
control,524,290
control,3697,1090
control,2817,936
control,3527,996
control,764,410
control,1077,514
control,1171,508
control,671,363
control,4497,1158
control,1361,492
control,856,438
control,1420,759
control,971,475
control,1534,658
control,456,281
control,1221,503
control,2203,773
control,1407,710
control,303,170
control,1773,861
control,2631,1263
control,601,272
control,3885,1028
control,1037,422
control,869,496
control,1281,572
control,963,587
control,623,307
control,1076,510
control,1045,447
control,1175,546
control,1087,460
control,1522,573
control,2717,895
control,2925,772
control,323,163
control,1170,532
control,1267,507
control,924,459
control,1643,745
control,774,375
control,1014,510
control,1433,538
control,2543,831
control,886,505
control,1279,510
control,916,466
control,3290,966
control,1765,559
control,470,277
control,1125,585
control,4773,1185
control,714,381
control,4012,1159
control,4523,1151
control,737,388
control,464,261
control,307,191
control,1611,781
control,3055,865
control,1190,732
control,2725,876
control,1096,503
control,860,411
control,1066,460
control,1446,535
control,623,380
control,2875,989
control,204,100
control,1159,486
control,746,355
control,2880,880
control,1291,512
control,1692,653
control,1177,505
control,715,403
control,781,383
control,458,235
control,1026,495
control,1521,515
control,3259,977
control,2300,669
control,737,326
control,1891,688
control,2186,758
control,991,467
control,2737,808
control,1035,452
control,426,230
control,1829,545
control,712,363
control,747,362
control,1773,845
control,1769,746
control,1544,477
control,2847,960
control,1426,506
control,1343,531
control,596,316
control,466,260
control,1586,644
control,1942,682
control,896,434
control,1058,456
control,962,480
control,946,457
control,483,303
control,1469,497
control,2660,856
control,1644,729
control,1210,551
control,2948,755
control,1862,594
control,2103,736
control,2065,891
control,2249,692
control,806,349
control,1911,610
control,1662,468
control,1411,575
control,1014,476
control,1341,476
control,2536,672
control,1853,655
control,1010,424
control,2469,1023
control,2229,734
control,2426,757
control,1125,458
control,1469,722
control,289,181
control,1258,548
control,1990,685
control,1596,496
control,1245,448
control,1014,430
control,1100,527
control,3717,1104
control,1073,510
control,3306,1117
control,715,335
control,2754,964
control,3258,1035
control,996,445
control,1552,579
control,2271,832
control,1462,507
control,2848,795
control,148,112
control,1013,383
control,853,419
control,908,400
control,1322,530
control,1067,456
control,520,309
control,1665,583
control,828,448
control,1805,609
control,948,439
control,1207,516
control,1577,475
control,1479,544
control,1555,666
control,373,183
control,4160,1421
control,798,385
control,1072,392
control,908,366
control,2361,739
control,363,236
control,1021,489
control,650,351
control,2766,855
control,2323,839
control,2501,915
control,2877,997
control,986,483
control,1558,555
control,1704,536
control,1230,501
control,1828,643
control,2774,887
control,1824,723
control,1084,404
control,853,531
control,3342,1039
control,1593,636
control,2371,796
control,4350,1105
control,2520,735
control,3181,895
control,2794,893
control,1209,523
control,904,411
control,3459,834
control,2854,865
control,5040,1155
control,1911,667
control,3674,992
control,1653,630
control,780,370
control,876,469
control,803,403
control,1218,536
control,3047,655
control,788,394
control,3835,850
control,347,217
control,1433,507
control,223,114
control,1091,440
control,557,307
control,833,438
control,2512,770
control,1263,503
control,2894,959
control,411,234
control,1193,483
control,1090,475
control,2603,799
control,357,239
control,1286,501
control,724,406
control,1033,432
control,3009,900
control,1074,466
control,495,346
control,1013,583
control,4632,1266
control,887,397
control,1343,686
control,691,426
control,1001,501
control,1192,471
control,1100,467
control,1016,443
control,3515,1392
control,4882,1194
control,1396,698
control,1853,694
control,1354,532
control,987,446
control,722,391
control,1440,521
control,1945,614
control,1479,556
control,1622,588
control,204,111
control,934,511
control,854,354
control,1180,478
control,1745,593
control,1984,617
control,978,418
